,protein_pdb_id,ligand_pdb_id,ligand_expo_id,pose,rmsd,docking_score,posit_probability,fingerprint_similarity,shape_similarity
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_4zts_chainA_altlocNone_docking-templateNone_3p9j-P9J_ligand.sdf_1,4zts,3p9j,P9J,1,9.800667135030483,-11.544377,0.2399999946355819,0.4186046511627907,0.6040054559707642
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_3myg_chainA_altlocNone_docking-templateNone_5aag-6F2_ligand.sdf_1,3myg,5aag,6F2,1,6.160440555845439,-13.439791,0.2399999946355819,0.3814432989690721,0.6016315817832947
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_6c2r_chainA_altlocNone_docking-templateNone_5orw-ADP_ligand.sdf_1,6c2r,5orw,ADP,1,12.472708302826916,-1.374665,0.0099999997764825,0.2261904761904762,0.698589026927948
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_3uo5_chainA_altlocNone_docking-templateNone_4zts-4RK_ligand.sdf_1,3uo5,4zts,4RK,1,6.184475314388902,-6.740746,0.2399999946355819,0.4970414201183432,0.873953640460968
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_2c6d_chainA_altlocNone_docking-templateNone_6vpg-ANP_ligand.sdf_1,2c6d,6vpg,ANP,1,2.2153999347674773,-7.644601,0.89,0.8589743589743589,1.2150557041168213
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5dt0_chainA_altlocNone_docking-templateNone_5dn3-ATP_ligand.sdf_1,5dt0,5dn3,ATP,1,10.84952756515678,-9.601848,0.1800000071525573,,0.6453659534454346
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5orp_chainA_altlocNone_docking-templateNone_5ory-ADP_ligand.sdf_1,5orp,5ory,ADP,1,0.2141785340421502,15.040962,0.99,0.7534246575342466,1.3428847789764404
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_2w1g_chainA_altlocNone_docking-templateNone_5orx-ADP_ligand.sdf_1,2w1g,5orx,ADP,1,2.9787870138823407,-9.720661,0.2399999946355819,0.2967741935483871,0.7013813853263855
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_2j50_chainA_altlocNone_docking-templateNone_3up7-0C9_ligand.sdf_1,2j50,3up7,0C9,1,1.0975675027427347,-11.166368,0.1800000071525573,0.3771428571428571,0.7844057679176331
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_4ded_chainA_altlocNone_docking-templateNone_4dee-ADP_ligand.sdf_1,4ded,4dee,ADP,1,8.372582691495253,-12.183099,0.1800000071525573,0.2857142857142857,0.861139178276062
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_2xng_chainA_altlocNone_docking-templateNone_5orw-ADP_ligand.sdf_1,2xng,5orw,ADP,1,9.128267248660226,-13.28189,0.2399999946355819,0.3333333333333333,0.6204820871353149
kinoml_OEPositDockingFeaturizer_Human_BRAF_rcsb_3tv6_chainA_altlocNone_docking-templateNone_7m0w-ANP_ligand.sdf_1,3tv6,7m0w,ANP,1,6.403615390114879,-9.898208,0.2399999946355819,0.2822085889570552,0.782572865486145
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5os4_chainA_altlocNone_docking-templateNone_2xru-400_ligand.sdf_1,5os4,2xru,400,1,13.030553869229385,13.347504,0.0099999997764825,0.2485875706214689,0.5593785047531128
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_3myg_chainA_altlocNone_docking-templateNone_5aaf-NL4_ligand.sdf_1,3myg,5aaf,NL4,1,5.31233170252452,-14.106523,0.2399999946355819,0.4419889502762431,0.6608423590660095
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_3w16_chainA_altlocNone_docking-templateNone_5dt0-SKE_ligand.sdf_1,3w16,5dt0,SKE,1,0.835368470485618,-10.647805,0.1800000071525573,0.4166666666666667,1.079796314239502
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_2c6d_chainA_altlocNone_docking-templateNone_5dr9-SKE_ligand.sdf_1,2c6d,5dr9,SKE,1,1.803240170113541,-10.385875,0.2399999946355819,0.272108843537415,0.711903989315033
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_3uoj_chainA_altlocNone_docking-templateNone_5dt0-SKE_ligand.sdf_1,3uoj,5dt0,SKE,1,1.1200450222432368,-11.596979,0.4199999868869781,0.547945205479452,1.1225214004516602
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5dt0_chainA_altlocNone_docking-templateNone_2xng-A0H_ligand.sdf_1,5dt0,2xng,A0H,1,8.130553400599496,-9.587276,0.050000000745058,,0.8866132497787476
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_6z4y_chainA_altlocNone_docking-templateNone_3w10-RO9_ligand.sdf_1,6z4y,3w10,RO9,1,5.35694944534667,-12.006841,0.2399999946355819,0.3614457831325301,0.7941354513168335
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_4jbo_chainA_altlocNone_docking-templateNone_6cpf-ACP_ligand.sdf_1,4jbo,6cpf,ACP,1,8.289426479246842,-10.048932,0.2399999946355819,0.29,0.5509461164474487
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_3uo6_chainA_altlocNone_docking-templateNone_4jbo-WPH_ligand.sdf_1,3uo6,4jbo,WPH,1,11.906330526236871,-7.803093,0.050000000745058,0.3763440860215054,0.6207278966903687
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5dt3_chainA_altlocNone_docking-templateNone_5g15-ACP_ligand.sdf_1,5dt3,5g15,ACP,1,2.3118873172674173,-13.350548,0.99,0.6987951807228916,1.1826503276824951
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_2xng_chainA_altlocNone_docking-templateNone_4dee-ADP_ligand.sdf_1,2xng,4dee,ADP,1,9.19924578631515,-13.28189,0.2399999946355819,0.3333333333333333,0.6204820871353149
